Time,P634A,P634B,P634C,Q634A,Q634B,Q634C,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,Ptotal
10,0.92439642,1.965446235,2.221424031,0.490610676,4.934905577,2.479484163,0.476303068,1.209915573,2.772734629,0.463074325,0.887992164,1.792558675,3.156650717,3.156650717,0.1,0.560287184,0.224114873,0.393382796,0.224114873,0.263929493,0.224114873,0.263929493,0.224114873,0.560287184,0.224114873,0.393382796,0.224114873,0.263929493,0.224114873,0.263929493,0.224114873,0.560287184,0.224114873,0.393382796,0.224114873,0.263929493,0.224114873,0.263929493,0.224114873,0.560287184,0.224114873,0.393382796,0.224114873,0.263929493,0.224114873,0.263929493,0.224114873,0.198210456,0.198210456,0.198210456,0.197876066,27.50724402
11,0.850513162,2.087734628,2.222118329,0.550672306,4.554642892,2.476346038,0.470348597,1.247802693,2.773724692,0.442709556,0.874905781,1.792758191,3.176702631,3.176702631,0.1,0.560349545,0.224139818,0.393303792,0.224139818,0.263958869,0.224139818,0.263958869,0.224139818,0.560349545,0.224139818,0.393303792,0.224139818,0.263958869,0.224139818,0.263958869,0.224139818,0.560349545,0.224139818,0.393303792,0.224139818,0.263958869,0.224139818,0.263958869,0.224139818,0.560349545,0.224139818,0.393303792,0.224139818,0.263958869,0.224139818,0.263958869,0.224139818,0.198211639,0.198211639,0.198211639,0.197877229,27.50651439
12,0.767894124,2.346816643,2.222809444,0.590616474,4.133941875,2.473222297,0.433062436,1.259570248,2.774710218,0.432575526,0.901848388,1.792956793,3.196662637,3.196662637,0.1,0.560411621,0.224164648,0.393225149,0.224164648,0.263988111,0.224164648,0.263988111,0.224164648,0.560411621,0.224164648,0.393225149,0.224164648,0.263988111,0.224164648,0.263988111,0.224164648,0.560411621,0.224164648,0.393225149,0.224164648,0.263988111,0.224164648,0.263988111,0.224164648,0.560411621,0.224164648,0.393225149,0.224164648,0.263988111,0.224164648,0.263988111,0.224164648,0.198212816,0.198212816,0.198212816,0.197878387,27.45565251
13,0.719757447,2.37237531,2.223499619,0.62076672,3.901277261,2.470102805,0.353573798,1.330604436,2.775694403,0.445099403,1.038021087,1.793155125,3.216595494,3.216595494,0.1,0.560473612,0.224189445,0.393146614,0.224189445,0.264017312,0.224189445,0.264017312,0.224189445,0.560473612,0.224189445,0.393146614,0.224189445,0.264017312,0.224189445,0.264017312,0.224189445,0.560473612,0.224189445,0.393146614,0.224189445,0.264017312,0.224189445,0.264017312,0.224189445,0.560473612,0.224189445,0.393146614,0.224189445,0.264017312,0.224189445,0.264017312,0.224189445,0.198213992,0.198213992,0.198213992,0.197879543,27.40988189
14,0.675197944,2.177845339,2.224190033,0.628635726,4.003782016,2.466982232,0.305450557,1.399078504,2.776678928,0.457324584,1.225996953,1.793353526,3.236535261,3.236535261,0.1,0.560535625,0.22421425,0.393068051,0.22421425,0.264046524,0.22421425,0.264046524,0.22421425,0.560535625,0.22421425,0.393068051,0.22421425,0.264046524,0.22421425,0.264046524,0.22421425,0.560535625,0.22421425,0.393068051,0.22421425,0.264046524,0.22421425,0.264046524,0.22421425,0.560535625,0.22421425,0.393068051,0.22421425,0.264046524,0.22421425,0.264046524,0.22421425,0.198215167,0.198215167,0.198215167,0.197880699,27.37648729
15,0.614290118,2.070733708,2.224881109,0.588305376,4.166641232,2.463858668,0.308231247,1.38650513,2.777664398,0.451531399,1.293718143,1.793552117,3.256494132,3.256494132,0.1,0.560597697,0.224239079,0.392989413,0.224239079,0.264075764,0.224239079,0.264075764,0.224239079,0.560597697,0.224239079,0.392989413,0.224239079,0.264075764,0.224239079,0.264075764,0.224239079,0.560597697,0.224239079,0.392989413,0.224239079,0.264075764,0.224239079,0.264075764,0.224239079,0.560597697,0.224239079,0.392989413,0.224239079,0.264075764,0.224239079,0.264075764,0.224239079,0.198216344,0.198216344,0.198216344,0.197881857,27.31146759
16,0.60543543,2.057510011,2.225572843,0.53847542,4.114639101,2.460732134,0.335277139,1.284326917,2.778650804,0.418229257,1.21609713,1.793750896,3.276471987,3.276471987,0.1,0.560659828,0.224263931,0.3929107,0.224263931,0.264105031,0.224263931,0.264105031,0.224263931,0.560659828,0.224263931,0.3929107,0.224263931,0.264105031,0.224263931,0.264105031,0.224263931,0.560659828,0.224263931,0.3929107,0.224263931,0.264105031,0.224263931,0.264105031,0.224263931,0.560659828,0.224263931,0.3929107,0.224263931,0.264105031,0.224263931,0.264105031,0.224263931,0.198217522,0.198217522,0.198217522,0.197883016,27.28579446
17,0.68231104,2.033950414,2.226265054,0.511596475,4.06894856,2.457603438,0.366170894,1.17131424,2.779637893,0.374271488,1.135863331,1.793949813,3.296463653,3.296463653,0.1,0.560722002,0.224288801,0.392831933,0.224288801,0.264134319,0.224288801,0.264134319,0.224288801,0.560722002,0.224288801,0.392831933,0.224288801,0.264134319,0.224288801,0.264134319,0.224288801,0.560722002,0.224288801,0.392831933,0.224288801,0.264134319,0.224288801,0.264134319,0.224288801,0.560722002,0.224288801,0.392831933,0.224288801,0.264134319,0.224288801,0.264134319,0.224288801,0.198218701,0.198218701,0.198218701,0.197884175,27.36202162
18,0.763392821,2.008578459,2.226957541,0.490835873,4.085253529,2.454473498,0.384017148,1.157539841,2.780625374,0.377283172,1.124046099,1.79414881,3.31646327,3.31646327,0.1,0.560784201,0.22431368,0.392753135,0.22431368,0.264163619,0.22431368,0.264163619,0.22431368,0.560784201,0.22431368,0.392753135,0.22431368,0.264163619,0.22431368,0.264163619,0.22431368,0.560784201,0.22431368,0.392753135,0.22431368,0.264163619,0.22431368,0.264163619,0.22431368,0.560784201,0.22431368,0.392753135,0.22431368,0.264163619,0.22431368,0.264163619,0.22431368,0.19821988,0.19821988,0.19821988,0.197885335,27.48251066
19,0.743119626,2.002933586,2.227650145,0.487626247,4.134238104,2.451343028,0.402321679,1.19158008,2.781613022,0.437482469,1.122518337,1.794347839,3.336466272,3.336466272,0.1,0.56084641,0.224338564,0.392674323,0.224338564,0.264192923,0.224338564,0.264192923,0.224338564,0.56084641,0.224338564,0.392674323,0.224338564,0.264192923,0.224338564,0.264192923,0.224338564,0.56084641,0.224338564,0.392674323,0.224338564,0.264192923,0.224338564,0.264192923,0.224338564,0.56084641,0.224338564,0.392674323,0.224338564,0.264192923,0.224338564,0.264192923,0.224338564,0.198221059,0.198221059,0.198221059,0.197886495,27.57684814
20,0.670269771,2.009286596,2.228342769,0.498013298,4.155809121,2.448212467,0.419470202,1.224372178,2.782600699,0.500616773,1.110960453,1.794546875,3.356469861,3.356469861,0.1,0.560908621,0.224363449,0.392595509,0.224363449,0.264222228,0.224363449,0.264222228,0.224363449,0.560908621,0.224363449,0.392595509,0.224363449,0.264222228,0.224363449,0.264222228,0.224363449,0.560908621,0.224363449,0.392595509,0.224363449,0.264222228,0.224363449,0.264222228,0.224363449,0.560908621,0.224363449,0.392595509,0.224363449,0.264222228,0.224363449,0.264222228,0.224363449,0.198222238,0.198222238,0.198222238,0.197887655,27.63398578
21,0.634921035,2.099111178,2.229035368,0.488898031,4.084147552,2.445082019,0.425691613,1.289260889,2.783588341,0.547142529,1.108906888,1.794745904,3.376472725,3.376472725,0.1,0.56097083,0.224388332,0.392516697,0.224388332,0.264251533,0.224388332,0.264251533,0.224388332,0.56097083,0.224388332,0.392516697,0.224388332,0.264251533,0.224388332,0.264251533,0.224388332,0.56097083,0.224388332,0.392516697,0.224388332,0.264251533,0.224388332,0.264251533,0.224388332,0.56097083,0.224388332,0.392516697,0.224388332,0.264251533,0.224388332,0.264251533,0.224388332,0.198223418,0.198223418,0.198223418,0.197888814,27.68158515
